Date;Collected time;Experiment Time;TreeID;LeafID;Leaf water potential
26-Sep-25;09:04;10:08;232;1;-0,648
26-Sep-25;09:04;10:08;232;2;-0,687
26-Sep-25;09:04;10:08;232;3;-0,583
26-Sep-25;09:04;10:08;232;4;-0,784
26-Sep-25;09:04;10:08;232;5;-0,578
26-Sep-25;11:35;12:22;232;1;-0,899
26-Sep-25;11:35;12:22;232;2;-0,948
26-Sep-25;11:35;12:22;232;3;-1,103
26-Sep-25;11:35;12:22;232;4;-1,016
26-Sep-25;11:35;12:22;232;5;-0,779
26-Sep-25;14:18;14:55;232;1;-1,381
26-Sep-25;14:18;14:55;232;2;-0,863
26-Sep-25;14:18;14:55;232;3;-1,43
26-Sep-25;14:18;14:55;232;4;-1,395
26-Sep-25;14:18;14:55;232;5;-1,108
26-Sep-25;16:04;17:00;232;1;-0,701
26-Sep-25;16:04;17:00;232;2;-0,7
26-Sep-25;16:04;17:00;232;3;-0,675
26-Sep-25;16:04;17:00;232;4;-0,694
26-Sep-25;16:04;17:00;232;5;-0,701
26-Sep-25;19:00;19:39;232;1;-0,661
26-Sep-25;19:00;19:39;232;2;-0,662
26-Sep-25;19:00;19:39;232;3;-0,654
26-Sep-25;19:00;19:39;232;4;-0,589
26-Sep-25;19:00;19:39;232;5;-0,533
27-Sep-25;06:02;06:55;232;1;-0,39
27-Sep-25;06:02;06:55;232;2;-0,281
27-Sep-25;06:02;06:55;232;3;-0,21
27-Sep-25;06:02;06:55;232;4;-0,201
27-Sep-25;06:02;06:55;232;5;-0,196
;;;;;
26-Sep-25;09:08;10:15;ITFSAC007;1;-0,731
26-Sep-25;09:08;10:15;ITFSAC007;2;-0,451
26-Sep-25;09:08;10:15;ITFSAC007;3;-0,554
26-Sep-25;09:08;10:15;ITFSAC007;4;-0,734
26-Sep-25;09:08;10:15;ITFSAC007;5;-0,682
26-Sep-25;11:36;12:38;ITFSAC007;1;-1,025
26-Sep-25;11:36;12:38;ITFSAC007;2;-0,471
26-Sep-25;11:36;12:38;ITFSAC007;3;-1,232
26-Sep-25;11:36;12:38;ITFSAC007;4;-0,741
26-Sep-25;11:36;12:38;ITFSAC007;5;-0,855
26-Sep-25;14:24;15:09;ITFSAC007;1;-0,908
26-Sep-25;14:24;15:09;ITFSAC007;2;-0,383
26-Sep-25;14:24;15:09;ITFSAC007;3;-0,344
26-Sep-25;14:24;15:09;ITFSAC007;4;-1,016
26-Sep-25;14:24;15:09;ITFSAC007;5;-1,568
26-Sep-25;16:43;17:45;ITFSAC007;1;-0,994
26-Sep-25;16:43;17:45;ITFSAC007;2;-0,709
26-Sep-25;16:43;17:45;ITFSAC007;3;-0,813
26-Sep-25;16:43;17:45;ITFSAC007;4;-1,008
26-Sep-25;16:43;17:45;ITFSAC007;5;-0,847
26-Sep-25;18:49;17:45;ITFSAC007;1;-0,67
26-Sep-25;18:49;17:45;ITFSAC007;2;-0,754
26-Sep-25;18:49;17:45;ITFSAC007;3;-0,563
26-Sep-25;18:49;17:45;ITFSAC007;4;-0,687
26-Sep-25;18:49;17:45;ITFSAC007;5;-0,778
27-Sep-25;06:07;07:40;ITFSAC007;1;-0,538
27-Sep-25;06:07;07:40;ITFSAC007;2;-0,388
27-Sep-25;06:07;07:40;ITFSAC007;3;-0,39
27-Sep-25;06:07;07:40;ITFSAC007;4;-0,435
27-Sep-25;06:07;07:40;ITFSAC007;5;-0,488
;;;;;
26-Sep-25;09:08;10:38;TI05;1;-0,522
26-Sep-25;09:08;10:38;TI05;2;-0,342
26-Sep-25;09:08;10:38;TI05;3;-0,364
26-Sep-25;09:08;10:38;TI05;4;-0,264
26-Sep-25;11:39;12:57;TI05;1;-0,394
26-Sep-25;11:39;12:57;TI05;2;-1,072
26-Sep-25;11:39;12:57;TI05;3;-0,782
26-Sep-25;11:39;12:57;TI05;4;-0,197
26-Sep-25;14:30;15:29;TI05;1;-1,234
26-Sep-25;14:30;15:29;TI05;2;-1,173
26-Sep-25;14:30;15:29;TI05;3;-1,196
26-Sep-25;14:30;15:29;TI05;4;-1,324
26-Sep-25;16:50;18:35;TI05;1;-1,153
26-Sep-25;16:50;18:35;TI05;2;-1,103
26-Sep-25;16:50;18:35;TI05;3;-0,92
26-Sep-25;18:55;10:48;TI05;1;-0,956
26-Sep-25;18:55;10:48;TI05;2;-0,343
26-Sep-25;18:55;10:48;TI05;3;-0,666
26-Sep-25;18:55;10:48;TI05;4;-0,288
26-Sep-25;06:17;10:48;TI05;1;-0,56
26-Sep-25;06:17;10:48;TI05;2;-0,597
26-Sep-25;06:17;10:48;TI05;3;-0,705
26-Sep-25;06:17;10:48;TI05;4;-0,672
26-Sep-25;06:17;10:48;TI05;5;-0,677
;;;;;
26-Sep-25;09:18;10:38;TI02_green;1;-0,309
26-Sep-25;09:18;10:38;TI02_green;2;-1,062
26-Sep-25;09:18;10:38;TI02_green;3;-0,453
26-Sep-25;09:18;10:38;TI02_green;4;-0,983
26-Sep-25;09:18;10:38;TI02_green;5;-1,01
26-Sep-25;11:43;13:16;TI02_green;1;-0,394
26-Sep-25;11:43;13:16;TI02_green;2;-1,432
26-Sep-25;11:43;13:16;TI02_green;3;-1,084
26-Sep-25;11:43;13:16;TI02_green;4;-1,138
26-Sep-25;11:43;13:16;TI02_green;5;-1,024
26-Sep-25;11:43;15:38;TI02_green;1;-1,76
26-Sep-25;16:43;15:38;TI02_green;2;-1,753
26-Sep-25;16:43;15:38;TI02_green;3;-1,235
26-Sep-25;16:43;15:38;TI02_green;4;-1,703
26-Sep-25;16:43;15:38;TI02_green;5;-1,821
26-Sep-25;16:48;17:15;TI02_green;1;-0,995
26-Sep-25;16:48;17:15;TI02_green;2;-1,085
26-Sep-25;16:48;17:15;TI02_green;3;-1,182
26-Sep-25;16:48;17:15;TI02_green;4;-0,884
26-Sep-25;16:48;17:15;TI02_green;5;-1,284
26-Sep-25;19:00;19:50;TI02_green;1;-0,816
26-Sep-25;19:00;19:50;TI02_green;2;-0,813
26-Sep-25;19:00;19:50;TI02_green;3;-0,855
26-Sep-25;19:00;19:50;TI02_green;4;-0,84
26-Sep-25;19:00;19:50;TI02_green;5;-0,928
27-Sep-25;06:13;07:10;TI02_green;1;-0,532
27-Sep-25;06:13;07:10;TI02_green;2;-0,416
27-Sep-25;06:13;07:10;TI02_green;3;-0,407
27-Sep-25;06:13;07:10;TI02_green;4;-0,391
27-Sep-25;06:13;07:10;TI02_green;5;-0,498
;;;;;
26-Sep-25;09:18;10:55;TI02_brown;1;-0,81
26-Sep-25;09:18;10:55;TI02_brown;2;-0,255
26-Sep-25;09:18;10:55;TI02_brown;3;-1,16
26-Sep-25;11:43;13:35;TI02_brown;1;-0,669
26-Sep-25;11:43;13:35;TI02_brown;2;-1,106
26-Sep-25;11:43;15:29;TI02_brown;1;-1,636
26-Sep-25;11:43;15:29;TI02_brown;2;-1,59
26-Sep-25;16:48;17:30;TI02_brown;1;-0,864
26-Sep-25;16:48;17:30;TI02_brown;2;-1,159
26-Sep-25;16:48;17:30;TI02_brown;3;-1,19
26-Sep-25;19:00;20:05;TI02_brown;1;-1,103
26-Sep-25;19:00;20:05;TI02_brown;2;-0,703
27-Sep-25;06:13;07:21;TI02_brown;1;-0,702
27-Sep-25;06:13;08:21;TI02_brown;2;-0,195
;;;;;
26-Sep-25;09:22;11:15;4;1;-0,809
26-Sep-25;09:22;11:15;4;2;-0,36
26-Sep-25;09:22;11:15;4;3;-0,357
26-Sep-25;09:22;11:15;4;4;-0,273
26-Sep-25;09:22;11:15;4;5;-0,402
26-Sep-25;11:39;13:38;4;1;-1,048
26-Sep-25;11:39;13:38;4;2;-0,674
26-Sep-25;11:39;13:38;4;3;-0,955
26-Sep-25;11:39;13:38;4;4;-0,53
26-Sep-25;11:39;13:38;4;5;-0,58
26-Sep-25;14:33;15:55;4;1;-0,62
26-Sep-25;14:33;15:55;4;2;-0,296
26-Sep-25;14:33;15:55;4;3;-0,511
26-Sep-25;14:33;15:55;4;4;-0,14
26-Sep-25;14:33;15:55;4;5;-0,629
26-Sep-25;14:33;16:21;4;1;-1,442
26-Sep-25;14:33;16:21;4;2;-0,906
26-Sep-25;14:33;16:21;4;3;-0,866
26-Sep-25;14:33;16:21;4;4;-1,836
26-Sep-25;14:33;16:21;4;5;-1,082
26-Sep-25;16:57;18:10;4;1;-1,874
26-Sep-25;16:57;18:10;4;2;-1,565
26-Sep-25;16:57;18:10;4;3;-0,53
26-Sep-25;16:57;18:10;4;4;-0,577
26-Sep-25;16:57;18:10;4;5;-0,507
26-Sep-25;19:00;20:10;4;1;-0,296
26-Sep-25;19:00;20:10;4;2;-0,266
26-Sep-25;19:00;20:10;4;3;-0,382
26-Sep-25;19:00;20:10;4;4;-0,167
26-Sep-25;19:00;20:10;4;5;-0,374
27-Sep-25;06:23;07:27;4;1;-0,05
27-Sep-25;06:23;07:27;4;2;-0,073
27-Sep-25;06:23;07:27;4;3;-0,103
27-Sep-25;06:23;07:27;4;4;-0,1
27-Sep-25;06:23;07:27;4;5;-0,13
