Date;Collection time;Branch height (m);Canopy position;Light status?;Measurement Time;Measurer;TreeID;LeafID;Leaf water potential (MPa);Note;
26-Sep-25;09:04;31,6;Upper third;Sun;10:08;Natali;232;1;-0,648;;
26-Sep-25;09:04;31,6;Upper third;Sun;10:08;Natali;232;2;-0,687;;
26-Sep-25;09:04;31,6;Upper third;Sun;10:08;Natali;232;3;-0,588;;
26-Sep-25;09:04;31,6;Upper third;Sun;10:08;Natali;232;4;-0,784;;
26-Sep-25;09:04;31,6;Upper third;Sun;10:08;Natali;232;5;-0,578;;
26-Sep-25;11:35;31,6;Upper third;Sun;12:22;Bea/Maida?;232;1;-0,899;;
26-Sep-25;11:35;31,6;Upper third;Sun;12:22;Bea/Maida?;232;2;-0,948;;
26-Sep-25;11:35;31,6;Upper third;Sun;12:22;Bea/Maida?;232;3;-1,103;;
26-Sep-25;11:35;31,6;Upper third;Sun;12:22;Bea/Maida?;232;4;-1,016;;
26-Sep-25;11:35;31,6;Upper third;Sun;12:22;Bea/Maida?;232;5;-0,779;;
26-Sep-25;14:18;31,6;Upper third;Sun;14:55;Bea/Maida?;232;1;-1,381;;
26-Sep-25;14:18;31,6;Upper third;Sun;14:55;Bea/Maida?;232;2;-0,863;;
26-Sep-25;14:18;31,6;Upper third;Sun;14:55;Bea/Maida?;232;3;-1,43;;
26-Sep-25;14:18;31,6;Upper third;Sun;14:55;Bea/Maida?;232;4;-1,395;;
26-Sep-25;14:18;31,6;Upper third;Sun;14:55;Bea/Maida?;232;5;-1,108;;
26-Sep-25;16:40;31,6;Upper third;Sun/Shade;17:00;Natali;232;1;-0,701;;
26-Sep-25;16:40;31,6;Upper third;Sun/Shade;17:00;Natali;232;2;-0,7;;
26-Sep-25;16:40;31,6;Upper third;Sun/Shade;17:00;Natali;232;3;-0,675;;
26-Sep-25;16:40;31,6;Upper third;Sun/Shade;17:00;Natali;232;4;-0,694;;
26-Sep-25;16:40;31,6;Upper third;Sun/Shade;17:00;Natali;232;5;-0,701;;
26-Sep-25;18:45;30,7;Upper third;Shade;19:39;Natali;232;1;-0,661;Dusk;
