nohup: ignoring input
[ Info: Progress 0.0% | step 1/8192 | elapsed 00:00:09 | remaining ≈ 19:47:12
[ Info: Progress 0.3% | step 27/8192 | elapsed 00:00:14 | remaining ≈ 01:10:26
[ Info: Progress 0.8% | step 65/8192 | elapsed 00:00:19 | remaining ≈ 00:40:19
[ Info: Progress 1.3% | step 103/8192 | elapsed 00:00:24 | remaining ≈ 00:31:53
[ Info: Progress 1.7% | step 139/8192 | elapsed 00:00:29 | remaining ≈ 00:28:24
[ Info: Progress 2.1% | step 173/8192 | elapsed 00:00:34 | remaining ≈ 00:26:37
[ Info: Progress 2.5% | step 208/8192 | elapsed 00:00:40 | remaining ≈ 00:25:17
[ Info: Progress 3.0% | step 247/8192 | elapsed 00:00:45 | remaining ≈ 00:24:08
[ Info: Progress 3.5% | step 286/8192 | elapsed 00:00:50 | remaining ≈ 00:23:15
[ Info: Progress 4.0% | step 325/8192 | elapsed 00:00:56 | remaining ≈ 00:22:25
[ Info: Progress 4.4% | step 360/8192 | elapsed 00:01:01 | remaining ≈ 00:21:58
[ Info: Progress 4.8% | step 396/8192 | elapsed 00:01:06 | remaining ≈ 00:21:32
[ Info: Progress 5.3% | step 432/8192 | elapsed 00:01:11 | remaining ≈ 00:21:09
[ Info: Progress 5.7% | step 469/8192 | elapsed 00:01:16 | remaining ≈ 00:20:48
[ Info: Progress 6.2% | step 508/8192 | elapsed 00:01:21 | remaining ≈ 00:20:26
[ Info: Progress 6.7% | step 547/8192 | elapsed 00:01:26 | remaining ≈ 00:20:07
[ Info: Progress 7.2% | step 586/8192 | elapsed 00:01:32 | remaining ≈ 00:19:50
[ Info: Progress 7.6% | step 625/8192 | elapsed 00:01:37 | remaining ≈ 00:19:34
[ Info: Progress 8.1% | step 664/8192 | elapsed 00:01:42 | remaining ≈ 00:19:19
[ Info: Progress 8.6% | step 703/8192 | elapsed 00:01:48 | remaining ≈ 00:19:06
[ Info: Progress 9.1% | step 742/8192 | elapsed 00:01:53 | remaining ≈ 00:18:53
[ Info: Progress 9.5% | step 781/8192 | elapsed 00:01:58 | remaining ≈ 00:18:41
[ Info: Progress 10.0% | step 820/8192 | elapsed 00:02:03 | remaining ≈ 00:18:30
[ Info: Progress 10.5% | step 859/8192 | elapsed 00:02:09 | remaining ≈ 00:18:19
[ Info: Progress 11.0% | step 898/8192 | elapsed 00:02:14 | remaining ≈ 00:18:09
