nohup: ignoring input
[ Info: Progress 0.1% | step 1/1133 | elapsed 00:00:08 | remaining ≈ 02:25:46
[ Info: Progress 5.4% | step 61/1133 | elapsed 00:00:13 | remaining ≈ 00:03:45
[ Info: Progress 12.4% | step 141/1133 | elapsed 00:00:18 | remaining ≈ 00:02:05
[ Info: Progress 19.2% | step 218/1133 | elapsed 00:00:23 | remaining ≈ 00:01:36
[ Info: Progress 26.1% | step 296/1133 | elapsed 00:00:28 | remaining ≈ 00:01:19
[ Info: Progress 33.1% | step 375/1133 | elapsed 00:00:33 | remaining ≈ 00:01:07
[ Info: Progress 40.3% | step 457/1133 | elapsed 00:00:38 | remaining ≈ 00:00:56
[ Info: Progress 48.0% | step 544/1133 | elapsed 00:00:43 | remaining ≈ 00:00:47
[ Info: Progress 55.8% | step 632/1133 | elapsed 00:00:48 | remaining ≈ 00:00:38
[ Info: Progress 62.9% | step 713/1133 | elapsed 00:00:53 | remaining ≈ 00:00:31
[ Info: Progress 70.1% | step 794/1133 | elapsed 00:00:58 | remaining ≈ 00:00:25
[ Info: Progress 77.2% | step 875/1133 | elapsed 00:01:03 | remaining ≈ 00:00:19
[ Info: Progress 84.3% | step 955/1133 | elapsed 00:01:08 | remaining ≈ 00:00:13
[ Info: Progress 91.3% | step 1034/1133 | elapsed 00:01:13 | remaining ≈ 00:00:07
[ Info: Progress 98.3% | step 1114/1133 | elapsed 00:01:18 | remaining ≈ 00:00:01
[ Info: Progress 3.0% | step 34/1133 | elapsed 00:00:05 | remaining ≈ 00:02:43
[ Info: Progress 6.7% | step 76/1133 | elapsed 00:00:10 | remaining ≈ 00:02:24
[ Info: Progress 10.5% | step 119/1133 | elapsed 00:00:15 | remaining ≈ 00:02:11
[ Info: Progress 13.9% | step 157/1133 | elapsed 00:00:21 | remaining ≈ 00:02:08
[ Info: Progress 17.7% | step 200/1133 | elapsed 00:00:26 | remaining ≈ 00:02:01
[ Info: Progress 21.4% | step 243/1133 | elapsed 00:00:31 | remaining ≈ 00:01:53
[ Info: Progress 24.8% | step 281/1133 | elapsed 00:00:36 | remaining ≈ 00:01:49
[ Info: Progress 28.5% | step 323/1133 | elapsed 00:00:41 | remaining ≈ 00:01:43
[ Info: Progress 32.5% | step 368/1133 | elapsed 00:00:46 | remaining ≈ 00:01:36
[ Info: Progress 35.9% | step 407/1133 | elapsed 00:00:51 | remaining ≈ 00:01:31
[ Info: Progress 39.5% | step 448/1133 | elapsed 00:00:57 | remaining ≈ 00:01:26
[ Info: Progress 43.4% | step 492/1133 | elapsed 00:01:02 | remaining ≈ 00:01:20
[ Info: Progress 46.9% | step 531/1133 | elapsed 00:01:07 | remaining ≈ 00:01:15
[ Info: Progress 50.4% | step 571/1133 | elapsed 00:01:12 | remaining ≈ 00:01:10
[ Info: Progress 54.4% | step 616/1133 | elapsed 00:01:17 | remaining ≈ 00:01:04
[ Info: Progress 58.0% | step 657/1133 | elapsed 00:01:22 | remaining ≈ 00:00:59
[ Info: Progress 61.7% | step 699/1133 | elapsed 00:01:27 | remaining ≈ 00:00:54
[ Info: Progress 65.7% | step 744/1133 | elapsed 00:01:32 | remaining ≈ 00:00:48
[ Info: Progress 69.6% | step 789/1133 | elapsed 00:01:37 | remaining ≈ 00:00:42
[ Info: Progress 73.3% | step 830/1133 | elapsed 00:01:42 | remaining ≈ 00:00:37
[ Info: Progress 77.0% | step 872/1133 | elapsed 00:01:47 | remaining ≈ 00:00:32
[ Info: Progress 80.8% | step 916/1133 | elapsed 00:01:53 | remaining ≈ 00:00:27
[ Info: Progress 84.8% | step 961/1133 | elapsed 00:01:58 | remaining ≈ 00:00:21
[ Info: Progress 88.4% | step 1002/1133 | elapsed 00:02:03 | remaining ≈ 00:00:16
[ Info: Progress 92.1% | step 1043/1133 | elapsed 00:02:08 | remaining ≈ 00:00:11
[ Info: Progress 96.1% | step 1089/1133 | elapsed 00:02:13 | remaining ≈ 00:00:05
[ Info: Progress 99.7% | step 1130/1133 | elapsed 00:02:18 | remaining ≈ 00:00:00
[ Info: Progress 7.3% | step 83/1133 | elapsed 00:00:05 | remaining ≈ 00:01:04
[ Info: Progress 15.2% | step 172/1133 | elapsed 00:00:10 | remaining ≈ 00:00:56
[ Info: Progress 22.8% | step 258/1133 | elapsed 00:00:15 | remaining ≈ 00:00:51
[ Info: Progress 30.5% | step 346/1133 | elapsed 00:00:20 | remaining ≈ 00:00:46
[ Info: Progress 38.1% | step 432/1133 | elapsed 00:00:25 | remaining ≈ 00:00:41
[ Info: Progress 45.7% | step 518/1133 | elapsed 00:00:30 | remaining ≈ 00:00:36
[ Info: Progress 53.4% | step 605/1133 | elapsed 00:00:35 | remaining ≈ 00:00:31
[ Info: Progress 61.2% | step 693/1133 | elapsed 00:00:40 | remaining ≈ 00:00:26
[ Info: Progress 68.9% | step 781/1133 | elapsed 00:00:45 | remaining ≈ 00:00:20
[ Info: Progress 76.9% | step 871/1133 | elapsed 00:00:50 | remaining ≈ 00:00:15
[ Info: Progress 84.3% | step 955/1133 | elapsed 00:00:55 | remaining ≈ 00:00:10
[ Info: Progress 92.1% | step 1043/1133 | elapsed 00:01:00 | remaining ≈ 00:00:05
[ Info: Progress 99.8% | step 1131/1133 | elapsed 00:01:05 | remaining ≈ 00:00:00
[ Info: Progress 6.8% | step 77/1133 | elapsed 00:00:05 | remaining ≈ 00:01:09
[ Info: Progress 14.2% | step 161/1133 | elapsed 00:00:10 | remaining ≈ 00:01:01
[ Info: Progress 21.7% | step 246/1133 | elapsed 00:00:15 | remaining ≈ 00:00:54
[ Info: Progress 29.0% | step 329/1133 | elapsed 00:00:20 | remaining ≈ 00:00:49
